Comment,Designator,Footprint,LCSC Part #
"100n","C101, C105, C106, C107, C108, C109, C110, C112, C113, C118, C119, C120, C121, C122, C123, C124, C126, C127, C128, C129, C130, C135, C139","C0603","C14663"
"4.7u","C102, C103, C104, C137, C138, C140","C0603","C19666"
"2.2u","C114, C131","C0603","C23630"
"12p","C115, C116","C0603","C38523"
"18p","C132, C136","C0603","C1647"
"1u","C133","C0603","C15849"
"B5819W","D101, D107","SOD-123","C8598"
"SRV05-4-P-T7","D102","SOT23-6","C85364"
"LED-RED-0603","D103","LED-0603","C2286"
"LED-GREEN-0603","D104","LED-0603","C72043"
"LED-BLUE-0603","D105","LED-0603","C72041"
"LED-YELLOW-0603","D106","LED-0603","C72038"
"SMD1206B035TF/16","F101","SMD1206","C269114"
"Module:mcu/0.6","M101","",""
"4.7k","R101, R107, R108, R109, R110, R111, R112, R113, R115, R117, R118, R125, R126","R0603-4","C66697"
"10k","R102, R103, R105, R121, R127, R128","R0603","C25804"
"100","R104, R106","R0603","C22775"
"47","R114","R0603","C23182"
"510","R116, R119, R120, R124","R0603","C23193"
"2.2k","R122, R123","R0603","C4190"
"10k","R129, R130","R0603-4","C29718"
"0","R131","R0402","C17168"
"5.1k","R132","R0603","C23186"
"AMS1117-3.3","U101","SOT-223","C6186"
"MCP6004","U102, U104, U106, U107, U108, U109","TSSOP14","C50282"
"AP2337SA-7","U103","SOT-23","C150497"
"STM32F767ZGT6","U105","LQFP144","C90235"
"XC6206P332MR","U111","SOT-23","C5446"
"32.768 kHz","Y101","SMD2012","C99009"
"20 MHz","Y102","SMD5032","C112566"
"?","R133, R134","R0603","board_id"
